Loaded 10000 rollouts
Loaded 10000 rollouts
Ignored short sequence #837: len=78, num_frames=101
Ignored short sequence #840: len=83, num_frames=101
Ignored short sequence #844: len=78, num_frames=101
Ignored short sequence #847: len=94, num_frames=101
Ignored short sequence #848: len=90, num_frames=101
Ignored short sequence #855: len=78, num_frames=101
Ignored short sequence #859: len=94, num_frames=101
Ignored short sequence #864: len=90, num_frames=101
Ignored short sequence #870: len=75, num_frames=101
Ignored short sequence #873: len=98, num_frames=101
Ignored short sequence #877: len=82, num_frames=101
Ignored short sequence #885: len=56, num_frames=101
Ignored short sequence #886: len=64, num_frames=101
Ignored short sequence #888: len=89, num_frames=101
Ignored short sequence #890: len=49, num_frames=101
Ignored short sequence #891: len=83, num_frames=101
Ignored short sequence #896: len=69, num_frames=101
Ignored short sequence #900: len=95, num_frames=101
Ignored short sequence #901: len=60, num_frames=101
Ignored short sequence #905: len=56, num_frames=101
Ignored short sequence #908: len=75, num_frames=101
Ignored short sequence #910: len=73, num_frames=101
Ignored short sequence #927: len=67, num_frames=101
Ignored short sequence #930: len=69, num_frames=101
Ignored short sequence #933: len=80, num_frames=101
Ignored short sequence #935: len=95, num_frames=101
Ignored short sequence #939: len=49, num_frames=101
Ignored short sequence #943: len=71, num_frames=101
Ignored short sequence #948: len=80, num_frames=101
Ignored short sequence #955: len=56, num_frames=101
Ignored short sequence #963: len=71, num_frames=101
Ignored short sequence #973: len=94, num_frames=101
Ignored short sequence #977: len=92, num_frames=101
Ignored short sequence #978: len=67, num_frames=101
Ignored short sequence #979: len=71, num_frames=101
Ignored short sequence #980: len=70, num_frames=101
Ignored short sequence #981: len=73, num_frames=101
Ignored short sequence #983: len=68, num_frames=101
Ignored short sequence #984: len=71, num_frames=101
Ignored short sequence #990: len=67, num_frames=101
Ignored short sequence #998: len=97, num_frames=101
Ignored short sequence #999: len=69, num_frames=101
Ignored short sequence #1005: len=65, num_frames=101
Ignored short sequence #1014: len=92, num_frames=101
Ignored short sequence #1016: len=67, num_frames=101
Ignored short sequence #1017: len=73, num_frames=101
Ignored short sequence #1019: len=95, num_frames=101
Ignored short sequence #1020: len=89, num_frames=101
Ignored short sequence #1022: len=99, num_frames=101
Ignored short sequence #1028: len=82, num_frames=101
Ignored short sequence #1032: len=92, num_frames=101
Ignored short sequence #1035: len=73, num_frames=101
Ignored short sequence #1037: len=78, num_frames=101
Ignored short sequence #1038: len=83, num_frames=101
Ignored short sequence #1044: len=83, num_frames=101
Ignored short sequence #1045: len=92, num_frames=101
Ignored short sequence #1052: len=69, num_frames=101
Ignored short sequence #1054: len=96, num_frames=101
Ignored short sequence #1055: len=64, num_frames=101
Ignored short sequence #1064: len=68, num_frames=101
Ignored short sequence #1066: len=89, num_frames=101
Ignored short sequence #1067: len=64, num_frames=101
Ignored short sequence #1074: len=81, num_frames=101
Ignored short sequence #1076: len=78, num_frames=101
Ignored short sequence #1077: len=100, num_frames=101
Ignored short sequence #1078: len=95, num_frames=101
Ignored short sequence #1081: len=67, num_frames=101
Ignored short sequence #1084: len=65, num_frames=101
Ignored short sequence #1090: len=73, num_frames=101
Ignored short sequence #1091: len=73, num_frames=101
Ignored short sequence #1092: len=75, num_frames=101
Ignored short sequence #1098: len=92, num_frames=101
Ignored short sequence #1107: len=68, num_frames=101
Ignored short sequence #1113: len=92, num_frames=101
Ignored short sequence #1114: len=89, num_frames=101
Ignored short sequence #1121: len=99, num_frames=101
Ignored short sequence #1123: len=78, num_frames=101
Ignored short sequence #1124: len=67, num_frames=101
Ignored short sequence #1126: len=69, num_frames=101
Ignored short sequence #1128: len=65, num_frames=101
Ignored short sequence #1133: len=69, num_frames=101
Ignored short sequence #1137: len=65, num_frames=101
Ignored short sequence #1141: len=82, num_frames=101
Ignored short sequence #1147: len=56, num_frames=101
Ignored short sequence #1151: len=67, num_frames=101
Ignored short sequence #1153: len=92, num_frames=101
Ignored short sequence #1155: len=96, num_frames=101
Ignored short sequence #1156: len=67, num_frames=101
Ignored short sequence #1161: len=78, num_frames=101
Ignored short sequence #1162: len=100, num_frames=101
Ignored short sequence #1163: len=94, num_frames=101
Ignored short sequence #1164: len=65, num_frames=101
Ignored short sequence #1166: len=82, num_frames=101
Ignored short sequence #1171: len=78, num_frames=101
Ignored short sequence #1173: len=49, num_frames=101
Ignored short sequence #1174: len=75, num_frames=101
Ignored short sequence #1175: len=83, num_frames=101
Ignored short sequence #1176: len=97, num_frames=101
Ignored short sequence #1181: len=75, num_frames=101
Ignored short sequence #1185: len=98, num_frames=101
Ignored short sequence #1196: len=67, num_frames=101
Ignored short sequence #1197: len=92, num_frames=101
Ignored short sequence #1198: len=67, num_frames=101
Ignored short sequence #1202: len=78, num_frames=101
Ignored short sequence #1203: len=85, num_frames=101
Ignored short sequence #1205: len=90, num_frames=101
Ignored short sequence #1206: len=89, num_frames=101
Ignored short sequence #1211: len=75, num_frames=101
Ignored short sequence #1217: len=92, num_frames=101
Ignored short sequence #1218: len=67, num_frames=101
Ignored short sequence #1219: len=100, num_frames=101
Ignored short sequence #1225: len=83, num_frames=101
Ignored short sequence #1226: len=96, num_frames=101
Ignored short sequence #1229: len=89, num_frames=101
Ignored short sequence #1230: len=73, num_frames=101
Ignored short sequence #1232: len=69, num_frames=101
Ignored short sequence #1244: len=69, num_frames=101
Ignored short sequence #1247: len=49, num_frames=101
Ignored short sequence #1254: len=83, num_frames=101
Ignored short sequence #1257: len=90, num_frames=101
Ignored short sequence #1262: len=65, num_frames=101
Ignored short sequence #1266: len=67, num_frames=101
Ignored short sequence #1268: len=92, num_frames=101
Ignored short sequence #1270: len=95, num_frames=101
Ignored short sequence #1271: len=84, num_frames=101
Ignored short sequence #1273: len=68, num_frames=101
Ignored short sequence #1274: len=64, num_frames=101
Ignored short sequence #1278: len=83, num_frames=101
Ignored short sequence #1282: len=92, num_frames=101
Ignored short sequence #1288: len=69, num_frames=101
Ignored short sequence #1292: len=90, num_frames=101
Ignored short sequence #1293: len=67, num_frames=101
Ignored short sequence #1299: len=85, num_frames=101
Ignored short sequence #1301: len=69, num_frames=101
Ignored short sequence #1302: len=92, num_frames=101
Ignored short sequence #1304: len=65, num_frames=101
Ignored short sequence #1305: len=92, num_frames=101
Ignored short sequence #1306: len=81, num_frames=101
Ignored short sequence #1307: len=98, num_frames=101
Ignored short sequence #1313: len=97, num_frames=101
Ignored short sequence #1315: len=78, num_frames=101
Ignored short sequence #1317: len=75, num_frames=101
Ignored short sequence #1318: len=89, num_frames=101
Ignored short sequence #1321: len=84, num_frames=101
Ignored short sequence #1334: len=78, num_frames=101
Ignored short sequence #1337: len=65, num_frames=101
Ignored short sequence #1339: len=73, num_frames=101
Ignored short sequence #1344: len=65, num_frames=101
Ignored short sequence #1345: len=85, num_frames=101
Ignored short sequence #1346: len=64, num_frames=101
Ignored short sequence #1347: len=97, num_frames=101
Ignored short sequence #1348: len=65, num_frames=101
Ignored short sequence #1352: len=68, num_frames=101
Ignored short sequence #1353: len=75, num_frames=101
Ignored short sequence #1357: len=56, num_frames=101
Ignored short sequence #1358: len=98, num_frames=101
Ignored short sequence #1360: len=85, num_frames=101
Ignored short sequence #1367: len=67, num_frames=101
Ignored short sequence #1370: len=82, num_frames=101
Ignored short sequence #1373: len=80, num_frames=101
Ignored short sequence #1375: len=90, num_frames=101
Ignored short sequence #1382: len=68, num_frames=101
Ignored short sequence #1383: len=78, num_frames=101
Ignored short sequence #1405: len=83, num_frames=101
Ignored short sequence #1408: len=71, num_frames=101
Ignored short sequence #1413: len=67, num_frames=101
Ignored short sequence #1415: len=81, num_frames=101
Ignored short sequence #1416: len=85, num_frames=101
Ignored short sequence #1419: len=67, num_frames=101
Ignored short sequence #1422: len=84, num_frames=101
Ignored short sequence #1424: len=100, num_frames=101
Ignored short sequence #1426: len=100, num_frames=101
Ignored short sequence #1427: len=97, num_frames=101
Ignored short sequence #1430: len=67, num_frames=101
Ignored short sequence #1431: len=100, num_frames=101
Ignored short sequence #1433: len=68, num_frames=101
Ignored short sequence #1439: len=81, num_frames=101
Ignored short sequence #1441: len=80, num_frames=101
Ignored short sequence #1443: len=80, num_frames=101
Ignored short sequence #1447: len=92, num_frames=101
Ignored short sequence #1453: len=68, num_frames=101
Ignored short sequence #1463: len=92, num_frames=101
Ignored short sequence #1472: len=94, num_frames=101
Ignored short sequence #1474: len=97, num_frames=101
Ignored short sequence #1475: len=89, num_frames=101
Ignored short sequence #1476: len=56, num_frames=101
Ignored short sequence #1482: len=78, num_frames=101
Ignored short sequence #1492: len=90, num_frames=101
Ignored short sequence #1505: len=65, num_frames=101
Ignored short sequence #1507: len=99, num_frames=101
Ignored short sequence #1511: len=65, num_frames=101
Ignored short sequence #1513: len=60, num_frames=101
Ignored short sequence #1515: len=83, num_frames=101
Ignored short sequence #1518: len=67, num_frames=101
Ignored short sequence #1520: len=81, num_frames=101
Ignored short sequence #1538: len=99, num_frames=101
Ignored short sequence #1544: len=94, num_frames=101
Ignored short sequence #1549: len=97, num_frames=101
Ignored short sequence #1554: len=75, num_frames=101
Ignored short sequence #1555: len=85, num_frames=101
Ignored short sequence #1570: len=92, num_frames=101
Ignored short sequence #1571: len=70, num_frames=101
Ignored short sequence #1572: len=84, num_frames=101
Ignored short sequence #1573: len=78, num_frames=101
Ignored short sequence #1579: len=90, num_frames=101
Ignored short sequence #1586: len=83, num_frames=101
Ignored short sequence #1593: len=71, num_frames=101
Ignored short sequence #1596: len=60, num_frames=101
Ignored short sequence #1601: len=95, num_frames=101
Ignored short sequence #1611: len=89, num_frames=101
Ignored short sequence #1620: len=69, num_frames=101
Ignored short sequence #1625: len=71, num_frames=101
Ignored short sequence #1629: len=84, num_frames=101
Ignored short sequence #1635: len=97, num_frames=101
Ignored short sequence #1641: len=73, num_frames=101
Ignored short sequence #1645: len=81, num_frames=101
Ignored short sequence #1647: len=78, num_frames=101
Ignored short sequence #1651: len=78, num_frames=101
Ignored short sequence #1654: len=73, num_frames=101
Ignored short sequence #1657: len=69, num_frames=101
Ignored short sequence #1661: len=89, num_frames=101
Ignored short sequence #1663: len=70, num_frames=101
Ignored short sequence #1677: len=69, num_frames=101
Ignored short sequence #1679: len=90, num_frames=101
Ignored short sequence #1681: len=70, num_frames=101
Ignored short sequence #1690: len=75, num_frames=101
Ignored short sequence #1692: len=65, num_frames=101
Ignored short sequence #1695: len=75, num_frames=101
Ignored short sequence #1696: len=97, num_frames=101
Ignored short sequence #1700: len=85, num_frames=101
