stage,environment,seed,role,episodes,success_rate,plans,steps,cem_cost_calls,dynamics_flops_total,plan_time_total_sec,wall_time_sec,manifest_file_sha256
final,ogb_cube,2002,sepopt_k192_20260922,100,71.0,4,100,2000,169599175200000,83.27143526612781,190.10209845681675,6b78567566069fbb9726e6bf25cebbcfd98c671f82e1ccaf13643c678cf3cdf5
final,ogb_cube,71623,upstream_lewm_converted,100,72.0,4,100,2000,169599175200000,84.43767403997481,193.75512081803754,fa93ab615814c28e0cc2da9c4e6021b343d21213d2944ed882cf9ce7236cffc4
final,ogb_cube,71623,sepopt_k192_20260922,100,68.0,4,100,2000,169599175200000,83.04356439318508,190.03985171788372,fa93ab615814c28e0cc2da9c4e6021b343d21213d2944ed882cf9ce7236cffc4
final,ogb_cube,82715,upstream_lewm_converted,100,68.0,4,100,2000,169599175200000,84.31533500622027,193.90085309999995,a697f4d0fc5f93becc5e833357ad698a77f10fd460941a9fc75600a66437d569
final,ogb_cube,82715,sepopt_k192_20260922,100,70.0,4,100,2000,169599175200000,83.38385429023765,189.68900356604718,a697f4d0fc5f93becc5e833357ad698a77f10fd460941a9fc75600a66437d569
final,ogb_cube,86604,upstream_lewm_converted,100,74.0,4,100,2000,169599175200000,84.07688415027224,192.8568170829676,8b2a3158996ed3c81d3eba1f3d4c32d25c09f0057629b6268afaa4c48a3ba02a
final,ogb_cube,86604,sepopt_k192_20260922,100,72.0,4,100,2000,169599175200000,82.8343070934061,188.73742811591364,8b2a3158996ed3c81d3eba1f3d4c32d25c09f0057629b6268afaa4c48a3ba02a
final,ogb_cube,91943,upstream_lewm_converted,100,73.0,4,100,2000,169599175200000,83.81108342995867,192.5640123768244,5f403867ae64d0b209171061019d6f6f38d0140425a773d8b4bce64b3ecaf2a9
final,ogb_cube,91943,sepopt_k192_20260922,100,75.0,4,100,2000,169599175200000,82.73169377120212,188.4389504189603,5f403867ae64d0b209171061019d6f6f38d0140425a773d8b4bce64b3ecaf2a9
final,reacher,2002,upstream_lewm_converted,100,96.0,4,100,2000,169596475200000,83.07173213479109,125.88694227905944,77ca6763769598292d114888d78979a7c6a07ea0362dbb55d714ec6a72d3351c
final,reacher,2002,sepopt_k192_20260922,100,99.0,4,100,2000,169596475200000,84.32097474811599,122.68341243383475,77ca6763769598292d114888d78979a7c6a07ea0362dbb55d714ec6a72d3351c
final,reacher,71623,upstream_lewm_converted,100,99.0,4,100,2000,169596475200000,82.80044770915993,125.30291676102206,8561d7a100b6c6be65bb26048045014fccba9ffa7caeff9e744fd888bc6b0bf1
final,reacher,71623,sepopt_k192_20260922,100,99.0,4,100,2000,169596475200000,81.62646339880303,120.43710913183168,8561d7a100b6c6be65bb26048045014fccba9ffa7caeff9e744fd888bc6b0bf1
final,reacher,82715,upstream_lewm_converted,100,97.0,4,100,2000,169596475200000,82.2263368931599,124.45905561093241,5115b89e36b27f8994576e7c9b8c5e5d7ff74a56bae886c32aee7a7d879521db
final,reacher,82715,sepopt_k192_20260922,100,96.0,4,100,2000,169596475200000,83.06107290415093,121.58747175009921,5115b89e36b27f8994576e7c9b8c5e5d7ff74a56bae886c32aee7a7d879521db
final,reacher,86604,upstream_lewm_converted,100,95.0,4,100,2000,169596475200000,81.92001464311033,124.5523648399394,9bb52673b715dfad64824bd3ba15f385ab820f202ac354314fb48f575fe12cdd
final,reacher,86604,sepopt_k192_20260922,100,95.0,4,100,2000,169596475200000,82.30354705778882,121.57856287108734,9bb52673b715dfad64824bd3ba15f385ab820f202ac354314fb48f575fe12cdd
final,reacher,91943,upstream_lewm_converted,100,96.0,4,100,2000,169596475200000,82.38739176769741,125.06647667684592,d67c959db19e6c529e689264a4c34e2e466fff6ca2ea7b2af9c88e58f5141a1f
final,reacher,91943,sepopt_k192_20260922,100,99.0,4,100,2000,169596475200000,83.09128220565617,121.66632158588618,d67c959db19e6c529e689264a4c34e2e466fff6ca2ea7b2af9c88e58f5141a1f
final,pusht,2002,upstream_lewm_converted,100,87.0,4,100,6000,508789425600000,246.9972148030065,275.6874301319476,0d16487fc594a85dc13b70845e6d11a13818ccc3378b8ae374c51c8b0e14df6b
final,pusht,2002,sepopt_k192_20260922,100,93.0,4,100,6000,508789425600000,248.56814392795786,274.30318648996763,0d16487fc594a85dc13b70845e6d11a13818ccc3378b8ae374c51c8b0e14df6b
final,pusht,71623,upstream_lewm_converted,100,93.0,4,100,6000,508789425600000,245.66971628763713,274.9229506030679,39526bde8affd44d36d338d715ad66bc81d9c2afaf0903e54510b772e8ce44cd
final,pusht,71623,sepopt_k192_20260922,100,90.0,4,100,6000,508789425600000,246.7144211998675,272.86520211794414,39526bde8affd44d36d338d715ad66bc81d9c2afaf0903e54510b772e8ce44cd
final,pusht,82715,upstream_lewm_converted,100,83.0,4,100,6000,508789425600000,248.130869083805,277.28137233085,7a28d64620a1234df2e93f667d7a70ccca37bcfec50094c19e9ac3223b76fb88
final,pusht,82715,sepopt_k192_20260922,100,92.0,4,100,6000,508789425600000,249.16986087989062,274.66744279908016,7a28d64620a1234df2e93f667d7a70ccca37bcfec50094c19e9ac3223b76fb88
final,pusht,86604,upstream_lewm_converted,100,83.0,4,100,6000,508789425600000,247.77471477375366,276.9843225770164,2442bb1ed1307773a2a26c19c4027461f0c12b7cb3d85d01b98afe8f6e643ff6
final,pusht,86604,sepopt_k192_20260922,100,94.0,4,100,6000,508789425600000,249.49004638195038,275.10329236183316,2442bb1ed1307773a2a26c19c4027461f0c12b7cb3d85d01b98afe8f6e643ff6
